type, value, quantity,info
socket, white banana socket, 2,
socket, yellow banana socket, 2,
socket, blue banana socket, 4,
socket, green banana socket, 2,
socket, black banana socket, 2,
socket, red banana socket, 2,
led, yellow low current led, 2,
led, yellow led lense, 2,
potentiometer, 50k linear, 6,
switch, spdt on-off-on,2,
