type, value, quantity, info,
socket, white banana socket, 1,,
socket, yellow banana socket, 1,,
socket, blue banana socket, 2,,
socket, green banana socket, 1,,
socket, black banana socket, 1,,
socket, red banana socket, 1,,
led, yellow low current led, 1,,
led, yellow led lense, 1,,
potentiometer, 50k linear, 3,,
switch, spdt on-off-on,1,,
