type, value, quantity, info,
hardware, M3 6mm pan head bolt, 8,,
hardware, M3 8mm threaded spacer, 4,,
hardware, M3 12mm male-female threaded spacer, 2,,
hardware, M3 12mm female-female threaded spacer, 2,,
