type, value, quantity, info,
hardware, M3 12mm threaded spacer, 4,faceplate bracket to holding bracket,
hardware, M3 19mm hinged threaded spacer, 4,holding bracket to rail,
hardware, M3 19mm threaded spacer, 4,holding bracket to rail,
